City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,simpang,-1.2667,104.0833,23.18,96,94,1.29,ID,1706562016
135,saltpond,5.2091,-1.0606,26.9,80,16,4.24,GH,1706562017
136,olonkinbyen,70.9221,-8.7187,-5.86,54,99,3.31,SJ,1706562019
137,cam ranh,11.9214,109.1591,22.98,83,40,2.06,VN,1706562020
138,sukhoy log,56.9094,62.0296,-14.8,97,86,2.4,RU,1706562021
139,ulsteinvik,62.3432,5.8487,6.28,74,11,4.92,NO,1706562022
140,alice springs,-23.7,133.8833,22.75,31,98,2.06,AU,1706562023
141,bamboo flat,11.7,92.7167,24.05,94,40,0.51,IN,1706562024
142,vacaria,-28.5122,-50.9339,18.56,92,39,1.98,BR,1706562025
143,port saint john's,-31.6229,29.5448,24.81,92,100,1.1,ZA,1706562026
144,sabang,5.8933,95.3214,27.3,78,25,6.61,ID,1706562026
145,hassi messaoud,31.6804,6.0729,14.92,63,0,2.06,DZ,1706562027
146,iqaluit,63.7506,-68.5145,-30.73,67,100,1.03,CA,1706562030
147,wailua homesteads,22.0669,-159.378,25.63,80,36,1.34,US,1706562030
148,vila franca do campo,37.7167,-25.4333,18.27,99,61,6.69,PT,1706562031
149,kiunga,-6.1219,141.2906,23.6,99,100,0.98,PG,1706562032
150,kegen,43.0197,79.2203,-7.06,97,100,0.46,KZ,1706562033
151,prado,-17.3411,-39.2208,26.48,82,100,4.11,BR,1706562033
152,puerto ayora,-0.7393,-90.3518,31.98,77,100,5.24,EC,1706562034
153,flying fish cove,-10.4217,105.6791,24.82,94,40,1.54,CX,1706561753
154,chonchi,-42.6128,-73.8092,19.56,46,99,0.83,CL,1706562036
155,vyerkhnyadzvinsk,55.7815,27.9443,-0.19,89,100,4.14,BY,1706562036
156,sant'antioco,39.0664,8.4522,9.82,78,14,3.87,IT,1706562037
157,supia,5.453,-75.6507,27.82,60,77,1.83,CO,1706562038
158,kununurra,-15.7667,128.7333,26.99,94,65,0.0,AU,1706562017
159,oyem,1.5995,11.5793,24.99,70,100,2.03,GA,1706562039
160,labrador city,52.9463,-66.9114,-24.05,48,0,1.54,CA,1706562039
161,sovetskiy,61.3614,63.5842,-22.28,100,99,1.34,RU,1706562040
162,smithers,54.7804,-127.1743,9.18,66,40,3.6,CA,1706562040
163,mazagao,-0.115,-51.2894,30.03,83,35,1.55,BR,1706562042
164,ilulissat,69.2167,-51.1,-21.99,64,100,5.14,GL,1706562043
165,andirin,37.5776,36.3549,-1.56,76,100,3.57,TR,1706562044
166,arraial do cabo,-22.9661,-42.0278,27.98,83,40,3.6,BR,1706562045
167,joao pinheiro,-17.7425,-46.1725,25.3,71,90,0.71,BR,1706562046
168,margaret river,-33.95,115.0667,11.29,89,4,4.43,AU,1706562046
169,itaituba,-4.2761,-55.9836,29.09,79,40,2.57,BR,1706562047
170,usogorsk,63.4106,48.6872,-4.63,94,100,4.76,RU,1706562048
171,praia da vitoria,38.7333,-27.0667,16.53,88,75,4.48,PT,1706562049
172,aldinga beach,-35.2793,138.4604,17.64,84,37,4.18,AU,1706562050
173,tucurui,-3.7661,-49.6725,24.89,96,99,1.44,BR,1706562050
174,jalaun,26.1451,79.3366,12.81,58,93,1.11,IN,1706562051
175,lerwick,60.1545,-1.1494,7.0,81,12,6.52,GB,1706561776
176,tiksi,71.6872,128.8694,-26.96,99,75,3.31,RU,1706562052
177,villa gesell,-37.2639,-56.973,25.59,60,14,9.24,AR,1706562053
178,constantia,44.1833,28.65,2.61,83,100,9.13,RO,1706562054
179,colonia,50.9333,6.95,10.46,82,0,2.06,DE,1706561762
180,mount isa,-20.7333,139.5,24.87,88,75,0.0,AU,1706562055
181,rongelap,11.1635,166.8941,26.29,77,88,6.18,MH,1706562056
182,portland,45.5234,-122.6762,17.27,72,75,1.54,US,1706561722
183,portage la prairie,49.9728,-98.2926,3.27,72,75,8.75,CA,1706562057
184,dalandzadgad,43.5708,104.425,-20.08,90,2,1.2,MN,1706562057
185,kupang,-10.1667,123.5833,24.32,100,40,0.0,ID,1706562058
186,palembang,-2.9167,104.7458,26.05,94,40,2.06,ID,1706562058
187,tangshan,39.6333,118.1833,-5.06,64,30,2.75,CN,1706562011
188,arkhangel'sk,64.5401,40.5433,2.06,80,20,8.0,RU,1706562059
189,nagqu,31.5,92.0,-14.18,96,93,2.49,CN,1706562061
190,yuzhno-kurilsk,44.0306,145.8556,-2.57,83,81,1.34,RU,1706562062
191,luanda,-8.8368,13.2343,29.0,83,75,3.09,AO,1706561858
192,kone,-21.0595,164.8658,27.35,69,91,0.22,NC,1706562064
193,tazovsky,67.4667,78.7,-23.35,93,57,4.82,RU,1706562065
194,gannan,47.9147,123.5031,-24.66,82,95,1.26,CN,1706562065
195,taltal,-25.4,-70.4833,22.65,69,22,3.07,CL,1706562066
196,tazacorte,28.629,-17.9293,20.08,37,27,3.58,ES,1706562067
197,bismarck,46.8083,-100.7837,9.48,61,0,6.17,US,1706562067
198,caleta de carquin,-11.0925,-77.6267,26.2,73,65,4.8,PE,1706562068
199,laojunmiao,39.8333,97.7333,-5.78,37,6,2.61,CN,1706562069
200,novokhopersk,51.0969,41.6252,-3.9,90,100,3.36,RU,1706562070
201,vorgashor,67.5833,63.95,-16.48,92,77,5.23,RU,1706562070
202,padang,-0.9492,100.3543,26.03,85,89,1.84,ID,1706562071
203,toguchin,55.2353,84.3858,-26.86,100,58,2.02,RU,1706562072
204,pesaro,43.9036,12.8903,8.26,72,0,1.38,IT,1706562072
205,umm kaddadah,13.6017,26.6876,16.7,26,38,5.83,SD,1706562073
206,blythe,33.6103,-114.5964,21.25,37,0,0.0,US,1706561828
207,port-vila,-17.7338,168.3219,24.78,88,20,1.03,VU,1706562074
208,tosontsengel,48.7567,98.2839,-26.31,93,99,0.86,MN,1706562075
209,al jawf,29.5,38.75,10.3,50,1,1.38,SA,1706562075
210,buraydah,26.326,43.975,16.25,49,43,2.66,SA,1706562076
211,sola,-13.8833,167.55,26.17,86,100,3.39,VU,1706562077
212,kruisfontein,-34.0033,24.7314,21.6,89,67,5.96,ZA,1706562078
213,egilsstadir,65.2653,-14.3948,4.95,70,75,8.23,IS,1706562079
214,porto barra do ivinheima,-22.9667,-53.6667,34.58,22,29,2.81,BR,1706562079
215,kailua-kona,19.6406,-155.9956,27.98,81,75,8.23,US,1706561780
216,bereket,39.2446,55.5154,2.88,73,27,1.3,TM,1706562080
217,port hedland,-20.3167,118.5667,26.03,83,40,3.6,AU,1706562081
218,petropavlovsk-kamchatsky,53.0452,158.6483,-15.3,93,0,6.0,RU,1706562081
219,sitka,57.0531,-135.33,8.94,81,100,17.49,US,1706562024
220,luderitz,-26.6481,15.1594,18.61,70,100,3.79,NA,1706562082
221,rio grande,-32.035,-52.0986,26.06,73,59,5.25,BR,1706562083
222,al quwayrah,29.8004,35.3116,12.0,67,8,2.67,JO,1706562084
223,pelotas,-31.7719,-52.3425,26.01,69,40,2.06,BR,1706562085
224,porto novo,6.4965,2.6036,28.9,74,1,2.77,BJ,1706562086
225,cuamba,-14.8031,36.5372,20.34,84,17,1.6,MZ,1706562087
226,tidjikja,18.5564,-11.4271,20.05,12,0,5.28,MR,1706562087
227,ashdod,31.8167,34.65,10.16,84,100,5.41,IL,1706562088
228,qarazhal,48.0078,70.7903,-14.32,84,98,2.53,KZ,1706562089
229,gornopravdinsk,60.05,69.9,-25.07,100,87,0.91,RU,1706562090
230,timimoun,29.2639,0.231,17.21,34,0,8.23,DZ,1706562090
231,bluefields,12.0137,-83.7635,25.04,88,100,3.09,NI,1706562015
232,guacamayas,18.0167,-102.2167,29.39,56,100,3.63,MX,1706562092
233,pechora,65.1472,57.2244,-12.3,94,100,4.02,RU,1706562092
234,santa cruz,-17.8,-63.1667,31.7,51,75,6.17,BO,1706561868
235,acaponeta,22.4964,-105.3594,34.35,14,100,0.99,MX,1706562093
236,howrah,22.5892,88.3103,16.0,88,0,0.0,IN,1706562094
237,cockburn town,21.4612,-71.1419,25.68,75,0,6.27,TC,1706562095
238,pacific grove,36.6177,-121.9166,22.53,66,88,1.79,US,1706562095
239,pastavy,55.1168,26.8326,-0.37,88,99,5.31,BY,1706562096
240,vadso,70.0744,29.7487,2.09,69,20,19.03,NO,1706562097
